itemcode,title,longtitle,brandcode,brand,groupcode,group,statusgroupcode,statusgroup,price,chargeprice,totalprice,suggestprice,barcode,stockfree,backorder,categoryid1,categoryname1,categoryid2,categoryname2,icecatproductid,productimage,warrantyinfo
06G-P4-2062-KR,EVGA 06G-P4-2062-KR videokaart NVIDIA GeForce RTX 2060 6 GB GDDR6,EVGA GeForce RTX 2060 SC Gaming 6GB GDDR6 Disp,A43,EVGA,H2,Videokaart nVidia,10009,New,378.13275,0,378.13275,543.5,4250812432193,0,10,1,Componenten,170,Videokaarten,66956019,https://productimages.nl/media/image/low/0ef0c3df2e396fe42687bb42cb12dd3e5f92c2159032e7fe1b7d906ad3cbdd92.jpg,2 jaren via Complies
0727C006,CANON Pixma MG2550s All-in-one / 4800DPI,CANON Pixma MG2550s AiO/ 4800DPI,P3,Canon,H6,Printer,10009,New,39.975,0,39.975,68.95,4549292072372,0,0,21,Printers,304,Multifunctionals,33440328,https://productimages.nl/media/image/low/1a6daf3373b706853923b45d2b40d6a44ba1f049b043e9c8da185766adbc1b9c.jpg,2 jaar via fabrikant
0727C026BA,Canon PIXMA MG2555S Inkjet 4800 x 600 DPI A4,CANON Pixma MG2555s AiO/ 4800DPI,P3,Canon,H6,Printer,10009,New,43.05,0,43.05,75.5,,0,0,21,Printers,304,Multifunctionals,32881887,https://productimages.nl/media/image/low/1a6daf3373b706853923b45d2b40d6a44ba1f049b043e9c8da185766adbc1b9c.jpg,2 jaar via fabrikant
0-761345-05652-6,Antec NeoECO NE650C 650W ATX Zwart power supply unit,Antec PSU NE650C EC  / 80+ Bronze /  650W,I2,Antec,J5,Voedingen,10009,New,44.049375,0,44.049375,68.95,761345056526,9,0,1,Componenten,963,Voedingen,34566832,https://productimages.nl/media/image/low/f7ca2474c156cede931a9a3df3477d07a66bf5d5aaf9f1c1692619a672fa4f2b.jpg,3 jaar via fabrikant
0-761345-06484-2,Antec PSU VP400PC 400 Watt,Antec PSU VP 400 PC / 400W / Retail,I2,Antec,J5,Voedingen,10009,New,28.3351,0,28.3351,43.95,761345064842,46,0,1,Componenten,963,Voedingen,17919255,https://productimages.nl/media/image/low/1fccbb5af1381bb1aeb56e602648482bf1b719e43af117c1e164e61fad65bbeb.jpg,3 jaar via fabrikant
0-761345-10106-6,Case Antec ISK-110 VESA U3 / 90 Watt / HTPC / mITX,Case Antec ISK-110 VESA U3 / 90 Watt / HTPC / mITX,I2,Antec,J4,Behuizingen,10009,New,63.55,0,63.55,91.5,761345101066,19,0,1,Componenten,237,Computerbehuizingen,35932432,https://productimages.nl/media/image/low/c80af30f088be9f549db9a997325a4324ee0c2914546c2ccdd4aba3c216b7def.jpg,3 jaar via fabrikant
0-761345-10531-6,Antec NeoECO NE550M power supply unit 550 W ATX Zwart,Antec NeoECO NE550M power supply unit 550 W ATX Zwart,I2,Antec,J5,Voedingen,10009,New,43.57275,0,43.57275,67.5,761345105316,7,0,1,Componenten,963,Voedingen,34566828,https://productimages.nl/media/image/low/403f7c172676964fdec871a063a0c71c90c50180821d35e702865f16fe07c696.jpg,2 jaar via Complies
0-761345-10532-3,Antec NeoECO NE650M power supply unit 650 W ATX Zwart,Antec PSU NE650M EC / 650W / Retail,I2,Antec,J5,Voedingen,10009,New,48.45175,0,48.45175,75.5,761345105323,1,0,1,Componenten,963,Voedingen,34566829,https://productimages.nl/media/image/low/403f7c172676964fdec871a063a0c71c90c50180821d35e702865f16fe07c696.jpg,3 jaar via fabrikant
0-761345-10921-5,Antec A400 RGB Processor Koeler,Antec A400 120mm RGB Led Cooler,I2,Antec,J6,Koelers,10009,New,23.54425,0,23.54425,36.95,761345109215,0,40,1,Componenten,921,Hardwarekoeling,66555038,https://productimages.nl/media/image/low/231a1497e0ad326c3141f2d8ee14b9acf7259aef30094166051c0e69a23ecc86.jpg,3 jaar via fabrikant
0-761345-10922-2,Antec A30 CPU koeler,Antec AIR CPU Cooler A30,I2,Antec,J6,Koelers,10009,New,6.4575,0,6.4575,13.5,761345109222,0,0,1,Componenten,921,Hardwarekoeling,33047493,https://productimages.nl/media/image/low/f566f4a1fb26bd6a0058c7c84549ba89e42d5c5a1ed0b48c3b0df2655dd1a711.jpg,3 jaar via fabrikant
0-761345-10923-9,Antec A40 PRO Processor Koeler,Antec AIR CPU Cooler A40 PRO,I2,Antec,J6,Koelers,10009,New,14.21675,0,14.21675,22.5,761345109239,0,0,1,Componenten,921,Hardwarekoeling,33047494,https://productimages.nl/media/image/low/d415ee23398f4ee223cc161026a470c265e265175906734df7f5cc334c78f8ea.jpg,3 jaar via fabrikant
0-761345-11629-9,Antec 0-761345-11629-9 power supply unit 750 W,Antec PSU EA750G Pro White Semi Modular 750W 80+ Gold,I2,Antec,J5,Voedingen,10009,New,70.94025,0,70.94025,106.95,761345116299,10,0,1,Componenten,963,Voedingen,79688064,https://productimages.nl/media/image/low/291ebe9baf7e257b1d3d9e44970248d4de7aa1facbee9c0e24d2ef30e9e9f47d.jpg,5 jaar via fabrikant
0-761345-11638-1,Antec HCG750 750W ATX Zwart power supply unit,PSU Antec 750W HCG750 Gold EC Modulair,I2,Antec,J5,Voedingen,10009,New,89.77975,0,89.77975,132.95,761345116381,9,0,1,Componenten,963,Voedingen,48059564,https://productimages.nl/media/image/low/07a43ef5dc6cca8ea43271ee58d080f1f50c32ed62ffee47653e92271081c858.jpg,3 jaar via fabrikant
0-761345-11651-0,Antec VP500P Plus EC power supply unit 500 W ATX Zwart,Antec PSU VP 500P Plus / 500W / 80 Plus / Retail,I2,Antec,J5,Voedingen,10009,New,34.18375,0,34.18375,55.5,761345116510,49,0,1,Componenten,963,Voedingen,65172914,https://productimages.nl/media/image/low/d4b26e04bc2b82b349d65231b4d75f4bbe131e49b7e3af965f762e259b12869d.jpg,3 jaar via fabrikant
0-761345-11657-2,Antec VP700P power supply unit 700 W ATX Zwart,Antec PSU VP700P Plus EC,I2,Antec,J5,Voedingen,10009,New,45.9815,0,45.9815,68.5,761345116572,8,0,1,Componenten,963,Voedingen,65172905,https://productimages.nl/media/image/low/7a3eb414610a65f837ef3ad62e57b3b53d8c3434783470f1f645b3594a3346a1.jpg,3 jaar via fabrikant
0-761345-11670-1,PSU Antec VP550P Plus 80+ 550W ATX,PSU Antec VP550P Plus 80+ 550W ATX,I2,Antec,J5,Voedingen,10009,New,33.9275,0,33.9275,56.95,,39,0,1,Componenten,963,Voedingen,73407866,https://productimages.nl/media/image/low/9aace715a908a56c128b47a2c72c0e9008214caa6357053bae7dbc9522196253.jpg,3 jaar via fabrikant
0-761345-11672-5,Antec VP PLUS VP650P Plus power supply unit 650 W 20+4 pin ATX Zwart,PSU Antec VP650P Plus 80+ 650W ATX,I2,Antec,J5,Voedingen,10009,New,36.9,0,36.9,56.95,,9,0,1,Componenten,963,Voedingen,73407968,https://productimages.nl/media/image/low/78eb09e848972656012f636e624470e235d8c91582d69f4a4275710cca84ec14.jpg,3 jaar via fabrikant
0-761345-11688-6,Antec NE700G Zen power supply unit 700 W ATX Zwart,PSU Antec NE700G 700W ATX Zwart,I2,Antec,J4,Behuizingen,10009,New,62.074,0,62.074,95.5,761345116886,9,0,1,Componenten,963,Voedingen,75665022,https://productimages.nl/media/image/low/19fe3f4a00851cf963a2d72a624444a33e9c75cbd109e3ce1ffa89ecdb3264bd.jpg,5 jaar via Complies
0-761345-74027-2,Antec Neptune 240 ARGB Liquid Cooler,Antec Neptune 240 ARGB Liquid Cooler,I2,Antec,J6,Koelers,10009,New,62.32,0,62.32,93.5,761345740272,0,0,1,Componenten,1623,Computer vloeibare koeling,75788636,https://productimages.nl/media/image/low/752f3869723562e3847be87b0dda7c9481d0b58408dc3c67df9f7d798d83158b.jpg,3 jaar via fabrikant
761345800167,Case Antec Constellation Serie Draco 10 Mini Tower Zwart,Case Antec Constellation Serie Draco 10 Mini Tower Zwart,I2,Antec,J4,Behuizingen,10009,New,37.58675,0,37.58675,70.5,761345800167,18,0,1,Componenten,237,Computerbehuizingen,92433751,https://productimages.nl/media/image/low/08c63ada5a31a11a224971ba4faf9b77d1283dd0869a21fcfb6065208569cd87.jpg,3 jaar via fabrikant
0-761345-80020-4,Antec DP301M Micro-Tower Zwart,Case Antec DP301M Black / micro-ATX mini-ITX / Window / RGB,I2,Antec,J4,Behuizingen,10009,New,35.5675,0,35.5675,57.5,761345800204,34,0,1,Componenten,237,Computerbehuizingen,66667423,https://productimages.nl/media/image/low/b1075510d465d0c495d0ab8ed7ef91e11c5a30da557908278bdb8b20c3cde226.jpg,3 jaar via fabrikant
0-761345-80050-1,Antec DP502 Flux Midi Tower Grijs,Case Antec DP502 Flux Midi Tower Glass Steel Grey,I2,Antec,J4,Behuizingen,10009,New,58.425,0,58.425,91.95,761345800501,12,0,1,Componenten,237,Computerbehuizingen,85756594,https://productimages.nl/media/image/low/6ae7f58e2b28734945de0b285271e8e2769d77374665f712b9a8b07105bb32c0.jpg,2 jaar via Complies
0-761345-81020-3,Antec NX210 Midi-Toren Zwart,Case Antec NX210 Midi-Toren Zwart / ATX / ITX / Micro ATX,I2,Antec,J4,Behuizingen,10009,New,34.44,0,34.44,54.5,761345810203,8,0,1,Componenten,237,Computerbehuizingen,71470226,https://productimages.nl/media/image/low/19f4644fa2b15407d8f9226ec8c07d475c351645466465abeffad38530474502.jpg,1 jaar via Complies
0-761345-81022-7,Antec NX220 Midi-Toren Zwart,Case Antec NX220 Midi-Toren Zwart,I2,Antec,J4,Behuizingen,10009,New,30.2375,0,30.2375,50.95,761345810227,14,0,1,Componenten,237,Computerbehuizingen,75292192,https://productimages.nl/media/image/low/12a6eaa34b6e4006cae82834fb53679619bcebbf715f6b1f24e031ab3f340b96.jpg,1 jaar via Complies
0-761345-81027-2,Antec NX200M Mini Tower Zwart,Case Antec NX200M Mini Tower Zwart,I2,Antec,J4,Behuizingen,10009,New,32.718,0,32.718,51.5,761345810272,22,0,1,Componenten,237,Computerbehuizingen,92050489,https://productimages.nl/media/image/low/20a8cc595bd13265692c71f4a17b5634f9006424a4b14007d8ef9044352e794a.jpg,1 jaar via Complies
0-761345-81028-9,Antec NX250 Midi Tower Zwart,Case Antec NX250 Midi Tower Zwart,I2,Antec,J4,Behuizingen,10009,New,35.51625,0,35.51625,54.5,761345810289,18,0,1,Componenten,237,Computerbehuizingen,92050488,https://productimages.nl/media/image/low/3ca0f6dc52f9bb82d6573bab7324b4dd511a4dc36534c87822832ab457cf1974.jpg,1 jaar via Complies
0-761345-81029-6,Antec NX260 Midi Tower Zwart,Case Antec NX260 Midi Tower Zwart,I2,Antec,J4,Behuizingen,10009,New,39.30875,0,39.30875,66.95,761345810296,16,0,1,Componenten,237,Computerbehuizingen,92050487,https://productimages.nl/media/image/low/78476be1a9ce5087539b68f6530a00147998147f246e10d912627e8d0988d651.jpg,2 jaar via Complies
0-761345-81030-2,Antec NX300 Midi-Toren Zwart,Case Antec NX300 Midi-Toren Zwart,I2,Antec,J4,Behuizingen,10009,New,36.628375,0,36.628375,57.95,761345810302,0,0,1,Componenten,237,Computerbehuizingen,71631406,https://productimages.nl/media/image/low/fcb549c861c4472a655657427e1d31cf52b89e58a3fb1370de419bfb7dda48bf.jpg,2 jaar via Complies
0-761345-81035-7,Case Antec New Gaming NX320 Midi Tower zwart W7P,Case Antec New Gaming NX320 Midi Tower zwart W7P,I2,Antec,J4,Behuizingen,10009,New,45.74575,0,45.74575,102.95,761345810357,17,0,1,Componenten,237,Computerbehuizingen,92433750,https://productimages.nl/media/image/low/5b8c3966e93c7f33c20d2d214d9514ddedd3761bda477a7823f86261d33f7eb4.jpg,3 jaar via fabrikant
0-761345-81040-1,Antec NX400 Midi-Toren Zwart,Case Antec NX400 Midi-Toren Zwart,I2,Antec,J4,Behuizingen,10009,New,36.93075,0,36.93075,58.5,761345810401,83,0,1,Componenten,237,Computerbehuizingen,71470231,https://productimages.nl/media/image/low/c96926c5b1f9f0b1471f852dc52ddcbfcb23d4017c544b6d710e00158dd324d3.jpg,1 jaar via Complies
0-761345-81080-7,Antec NX800 Midi-Toren Zwart,Antec NX800 Midi-Toren Zwart,I2,Antec,J4,Behuizingen,10009,New,62.525,0,62.525,98.5,761345810807,20,0,1,Componenten,237,Computerbehuizingen,75292197,https://productimages.nl/media/image/low/b890d5c21c6c89a388bb8fe47d342e0c9a946ad54a266a844388b46215b5b813.jpg,1 jaar via Complies
0-761345-82003-5,Case Antec P82 Flow Midi Tower Glass Windows Steel Grey,Case Antec P82 Flow Midi Tower Glass Windows Steel Grey,I2,Antec,J4,Behuizingen,10009,New,43.5625,0,43.5625,65.5,761345820035,4,0,1,Componenten,237,Computerbehuizingen,76937464,https://productimages.nl/media/image/low/f69f63626130ae90a37745de9945a0739709b016cfd16f94db59e35de28bad66.jpg,2 jaar via Complies
0-761345-92003-2,Antec VSK 2000-U3 Desktop Zwart,Case Antec VSK 2000-U3 Black / HTPC micro-ATX mini-ITX,I2,Antec,J4,Behuizingen,10009,New,32.4925,0,32.4925,52.95,761345920032,15,0,1,Componenten,237,Computerbehuizingen,27280766,https://productimages.nl/media/image/low/e3ef8d703c814ed4e4bd277790003d98c0156fd07bb1b6fa99b72a5b29eae687.jpg,3 jaar via fabrikant
0-761345-92025-4,Antec VSK 3000B-U3/U2 M-ATX / mATX / USB 3.0 / NO PSU,Case Antec VSK 3000B-U3/U2 Black / micro-ATX mini-ITX,I2,Antec,J4,Behuizingen,10009,New,24.26175,0,24.26175,39.95,761345920322,0,72,1,Componenten,237,Computerbehuizingen,24318182,https://productimages.nl/media/image/low/7fbd0b49778d317e0dbcb5e3dc83fdd2b999bd2989ad6cbb6dad09d81dc2586b.jpg,3 jaar via fabrikant
0-761345-92048-3,Case Antec VSK 4000B-U3 ATX / USB 3.0 / NO PSU,Case Antec VSK 4000B-U3 ATX  / USB 3.0 / NO PSU,I2,Antec,J4,Behuizingen,10009,New,27.183,0,27.183,45.95,761345920483,66,0,1,Componenten,237,Computerbehuizingen,35700954,https://productimages.nl/media/image/low/5ab8cabf87230dbcdfd4d7ed83bc321ce901494c14abcf91c717678fb174bf6a.jpg,3 jaar via fabrikant
0-761345-93100-7,Antec NSK3100 Midi-Toren Zwart computerbehuizing,Case Antec NSK-3100-EU Black / micro-ATX mini-ITX,I2,Antec,J4,Behuizingen,10009,New,33.3125,0,33.3125,52.5,761345931007,0,0,1,Componenten,237,Computerbehuizingen,19762067,https://productimages.nl/media/image/low/b58e5ffb75e75c96daa2833ae1aaed672594aae645b983e105f9250a0ec7b6c4.jpg,3 jaar via fabrikant
100-100000022BOX,CPU AMD Ryzen 5 3600X / 6core / AM4 / / 3.8-4.4GHz / Boxed,CPU AMD Ryzen 5 3600X  / 6core / AM4 /  / 3.8-4.4GHz / Boxed,A5,AMD,A5,Processor,10009,New,209.1,0,209.1,322.95,730143309912,3,0,1,Componenten,989,Processoren,71523570,https://productimages.nl/media/image/low/0fd41da24ee7475c96b7d63871823df51b2f88ce29c1cf61662f5d9eb81e185c.jpg,3 jaar via fabrikant
100-100000023BOX,CPU AMD Ryzen 9 3900X / 12core / AM4 / 3.8-4.6GHz / Boxed,CPU AMD Ryzen 9 3900X / 12core / AM4 / 3.8-4.6GHz / Boxed,A5,AMD,A5,Processor,10009,New,359.406,0,359.406,507.95,,0,10,1,Componenten,989,Processoren,71523912,https://productimages.nl/media/image/low/4de76ceeb494f17bf33904bc5001e087d0c8b24f99f85f249567fa75317ebe53.jpg,3 jaar via fabrikant
100-100000025BOX,CPU AMD Ryzen 7 3800X / 8core / AM4 / / 3.9-4.5GHz / Boxed,CPU AMD Ryzen 7 3800X / 8core / AM4 /  / 3.9-4.5GHz / Boxed,A5,AMD,A5,Processor,10009,New,241.3875,0,241.3875,339.95,730143309899,15,0,1,Componenten,989,Processoren,71523944,https://productimages.nl/media/image/low/0fd41da24ee7475c96b7d63871823df51b2f88ce29c1cf61662f5d9eb81e185c.jpg,3 jaar via fabrikant
100-100000031BOX,CPU AMD Ryzen 5 3600 / 6core / AM4 / 3.6GHz-4.2GHz / Boxed,CPU AMD Ryzen 5 3600 / 6core / AM4 / 3.6GHz-4.2GHz / Boxed,A5,AMD,A5,Processor,10009,New,180.4,0,180.4,268.95,730143309936,4,0,1,Componenten,989,Processoren,71530955,https://productimages.nl/media/image/low/0fd41da24ee7475c96b7d63871823df51b2f88ce29c1cf61662f5d9eb81e185c.jpg,3 jaar via fabrikant
100-100000059WOF,"AMD Ryzen 9 5950X processor 3,4 GHz 64 MB L3","CPU AMD Ryzen 9 5950X Box AM4 (4,900 GHz) WOF",A5,AMD,A5,Processor,10009,New,673.425,0,673.425,918.95,730143312745,0,1,1,Componenten,989,Processoren,86261903,https://productimages.nl/media/image/low/3f0bb94bee5b20b78dbbb212287870953d877e873814aa5c724b0d47a2aa10d8.jpg,3 jaar via fabrikant
100-100000061WOF,"AMD Ryzen 9 5900X processor 3,7 GHz 64 MB L3","CPU AMD Ryzen 9 5900X processor 3,7 GHz 64 MB L3",A5,AMD,A5,Processor,10009,New,459.9585,0,459.9585,627.5,730143312738,2,0,1,Componenten,989,Processoren,86261900,https://productimages.nl/media/image/low/74471f5043ed44009ff5c3714f05e0922907dcbce1b3683ea9749a57bc4c1171.jpg,3 jaar via Complies
100-100000063WOF,"AMD Ryzen 7 5800X processor 3,8 GHz 32 MB L3","CPU AMD Ryzen 7 5800X processor 3,8 GHz 32 MB L3",A5,AMD,A5,Processor,10009,New,326.45225,0,326.45225,451.5,730143312714,0,0,1,Componenten,989,Processoren,86261905,https://productimages.nl/media/image/low/177a5b4b0bbc6c7d6692013c5c5575fec9ba85c881e3ac432aef01f5c3751260.jpg,3 jaar via Complies
100-100000065BOX,CPU AMD Ryzen 5 5600X / 6core / AM4 / 3.7GHz-4.6GHz / Boxed,CPU AMD Ryzen 5 5600X / 6core / AM4 / 3.7GHz-4.6GHz / Boxed,A5,AMD,A5,Processor,10009,New,255.549925,0,255.549925,319.5,,8,0,1,Componenten,989,Processoren,86261907,https://productimages.nl/media/image/low/ca3eacef1efe1e1dbecca195ac5f8abf4beab41403e3538614672e2f9c9d3db8.jpg,3 jaar via fabrikant
